analysis_id,89744176976yo49
mouse_life_stage,Early adult
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
pvalue,0.1813703
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
parameter_name,Percent time in dark
