parameter_id,IMPC_DXA_006_001
gene_symbol,Slc30a4
pvalue,0.819188
gene_accession_id,MGI:1345282
parameter_name,Body length
analysis_id,8364n5en5929vuz
mouse_life_stage,Late adult
mouse_strain,C57BL
