analysis_id,k4x50g1e873lnm1
gene_accession_id,MGI:1920638
parameter_name,Eosinophil cell count
pvalue,0.1361046
parameter_id,IMPC_HEM_036_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,C57BL
