parameter_name,Dark side time spent
gene_symbol,Hpca
pvalue,0.3927701
mouse_life_stage,Early adult
analysis_id,g7395oa1lx0g59o
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,JAX_LDT_004_001
