analysis_id,lne32111197x72z
gene_accession_id,MGI:106659
pvalue,0.4674612
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
gene_symbol,Sprr1b
