gene_symbol,Pum1
analysis_id,4qxyz9jod64o8o5
mouse_strain,C57BL
parameter_name,Total B cells - % of CD45+
pvalue,0.06991011
mouse_life_stage,Early adult
parameter_id,MGP_IMM_041_001
gene_accession_id,MGI:1931749
