parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
pvalue,0.6184693
analysis_id,2n63b9zki3vw6fe
mouse_strain,C57BL
