analysis_id,w4p5y6bvrv1362u
pvalue,0.585552
parameter_name,Spleen weight
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
mouse_strain,C57BL
gene_symbol,Sgip1
