analysis_id,2t9s291xd6r07g9
parameter_id,MGP_IMM_079_001
pvalue,0.4791689
Mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Etfdh
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
