gene_symbol,Arnt
analysis_id,74wp6256f2oj36v
gene_accession_id,MGI:88071
parameter_name,Right kidney weight
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OWT_004_001
pvalue,0.4095828
