analysis_id,1gl9yhoby86sa34
parameter_id,IMPC_GEL_060_001
pvalue,0.9383358
gene_symbol,Clvs1
parameter_name,Neural tube morphology
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
mouse_strain,C57BL
