parameter_name,Dark side time spent
gene_symbol,Golm2
mouse_life_stage,Early adult
analysis_id,c00548pn6z57yu8
gene_accession_id,MGI:2443129
pvalue,0.8874247
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
