analysis_id,38c6n6u620940x2
mouse_life_stage,Early adult
parameter_id,MGP_PBI_010_001
pvalue,0.7030635
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_symbol,Usp37
mouse_strain,C57BL
gene_accession_id,MGI:2442483
