parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
analysis_id,c2s1co7h8p7xr2s
parameter_id,IMPC_IMM_046_001
gene_symbol,Sdcbp2
pvalue,0.6917757
gene_accession_id,MGI:2385156
mouse_strain,C57BL
