analysis_id,753m137c4d5ziaz
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:1914583
pvalue,0.5027916
parameter_name,KLRG1+ mature NK cell number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Stk35
