parameter_name,Zygomatic bone
pvalue,0.6256287
gene_symbol,Cpa3
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:88479
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,cn0y6376su2d7l1
