gene_symbol,Traf6
gene_accession_id,MGI:108072
parameter_id,IMPC_ACS_033_001
parameter_name,% Pre-pulse inhibition - PPI1
analysis_id,g7td94mh644cdn4
pvalue,0.8657697
mouse_life_stage,Early adult
mouse_strain,C57BL
