analysis_id,y1rkc3p3a596x51
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
gene_symbol,Mecom
mouse_strain,C57BL
pvalue,0.6916512
