gene_symbol,Pld1
mouse_strain,C57BL
pvalue,0.9803211
gene_accession_id,MGI:109585
analysis_id,j030a291d8w803q
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
