analysis_id,852h68u3l1jn810
mouse_strain,C57BL
gene_accession_id,MGI:3033992
pvalue,0.4008296
mouse_life_stage,Early adult
gene_symbol,Cldn19
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
