gene_symbol,Sass6
mouse_life_stage,E9.5
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_strain,C57BL
pvalue,0.6717698
parameter_id,MGP_IMM_094_001
analysis_id,7j3b1oy72cd81j0
gene_accession_id,MGI:1920026
