analysis_id,wl4q4k327f6535m
gene_symbol,Dnajc8
parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:1915848
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
pvalue,0.8905774
