parameter_id,MGP_CSD_066_001
parameter_name,Snout morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dmap1
analysis_id,r941g8t2k6p0v78
gene_accession_id,MGI:1913483
pvalue,0.09910642
