parameter_name,Potassium
mouse_strain,C57BL
gene_symbol,SDCBP2
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
parameter_id,GMC_906_001_005
analysis_id,0mw8656va1fz62g
pvalue,0.6171239
