analysis_id,f725z8j9c4m4l79
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1914944
parameter_id,IMPC_CSD_007_001
pvalue,0.4441318
gene_symbol,Ift74
