gene_symbol,Kcng1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8660996
analysis_id,3611iv7464nb21a
gene_accession_id,MGI:3616086
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
