analysis_id,5ll20i4ptm17ym4
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8140868
parameter_id,IMPC_OFD_018_001
parameter_name,Latency to center entry
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
