analysis_id,39092ci913t1vfk
parameter_id,MGP_IMM_001_001
gene_symbol,Rab13
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
pvalue,0.06736336
gene_accession_id,MGI:1927232
