analysis_id,r74ia5t4kes64f3
parameter_name,Aggression
pvalue,0.8259501
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
gene_symbol,Ahcy
