analysis_id,9w8q2570753h10u
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_name,Femur
pvalue,0.6780882
parameter_id,IMPC_XRY_024_001
