parameter_name,Zygomatic bone
analysis_id,vltsrmj0026evg2
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,IMPC_XRY_002_001
gene_symbol,Ints7
mouse_life_stage,Early adult
pvalue,0.9487281
