gene_symbol,Arnt
gene_accession_id,MGI:88071
parameter_name,Mean-cell-volume
pvalue,0.3706824
parameter_id,M-G-P_016_001_005
analysis_id,n4v8kaz85r593tc
mouse_strain,C57BL
mouse_life_stage,Early adult
