parameter_name,Limb grasping
mouse_strain,C57BL
gene_accession_id,MGI:1917810
pvalue,0.3885317
analysis_id,96j79w9bez106c2
parameter_id,ESLIM_008_001_017
mouse_life_stage,E9.5
gene_symbol,Wars2
