parameter_name,Sacral processes
analysis_id,3l4xn69f6426czs
mouse_strain,C57BL
parameter_id,IMPC_XRY_066_001
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
gene_symbol,Etfdh
pvalue,0.1741851
