gene_symbol,Bmp7
pvalue,0.3929013
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
analysis_id,54l9p6756j77xg1
mouse_strain,C57BL
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
