gene_symbol,Sprr1b
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,58i8z7x7e57kd51
pvalue,0.724556
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:106659
parameter_id,MGP_IMM_020_001
