parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Bmp7
gene_accession_id,MGI:103302
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
pvalue,0.9500475
analysis_id,35wc9pqmu78m33a
mouse_strain,C57BL
