gene_symbol,Ubxn11
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:1914836
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.5928324
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7gvl4999x3y1jrh
