analysis_id,r4whe6ps9hma657
parameter_name,Total cholesterol
gene_symbol,Bmp7
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
pvalue,0.9696896
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
