parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6926781
gene_symbol,Tbl1xr1
analysis_id,4y5t2c615983g8h
gene_accession_id,MGI:2441730
parameter_id,HRWLLA_CBC_014_001
