parameter_id,ESLIM_008_001_001
parameter_name,Body position
pvalue,0.5192678
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,871u51t24ph6tu0
