analysis_id,bus5p6871534100
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.2555121
mouse_life_stage,E9.5
parameter_name,Limb grasp
parameter_id,JAXLA_CSD_039_001
