gene_symbol,Tatdn3
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.5027546
mouse_strain,C57BL
gene_accession_id,MGI:1916222
analysis_id,06z8s7w2660l640
