parameter_name,Limb morphology
pvalue,0.3427444
gene_accession_id,MGI:3033992
parameter_id,IMPC_GEP_084_001
analysis_id,v0yf9nu02cm570w
gene_symbol,Cldn19
mouse_strain,C57BL
mouse_life_stage,Early adult
