parameter_name,DN CD44+CD62L- NKT cells
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,q2972c39g932z23
parameter_id,IMPC_IMM_046_001
pvalue,0.3187184
gene_symbol,Lpgat1
