analysis_id,4l8u8h92di203c6
parameter_name,Eosinophil number
mouse_life_stage,Early adult
pvalue,0.7886809
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
mouse_strain,C57BL
parameter_id,MGP_PBI_040_001
