analysis_id,c996z342a0x21xu
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
pvalue,0.414725
parameter_name,Anophthalmia
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
