analysis_id,mr3e90585j900i1
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
gene_symbol,Dmap1
mouse_strain,C57BL
gene_accession_id,MGI:1913483
pvalue,0.1435983
