gene_symbol,Dcaf12
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7724488
analysis_id,f3xhd9aqg18uf57
gene_accession_id,MGI:1916220
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
