analysis_id,2w1zl02j25lly9y
mouse_strain,C57BL
gene_accession_id,MGI:97054
parameter_id,IMPC_OFD_022_001
gene_symbol,Mov10
mouse_life_stage,Early adult
pvalue,0.3102728
parameter_name,Percentage center time
