analysis_id,1rm989ds7bw2mso
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:2674093
gene_symbol,Psd4
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
pvalue,0.3641752
mouse_life_stage,Early adult
