analysis_id,799q105wf751q41
gene_accession_id,MGI:1931322
gene_symbol,Car13
pvalue,0.6667215
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
