gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_id,MGP_MLN_066_001
pvalue,0.2766996
mouse_life_stage,E12.5
analysis_id,zp863c719mc70ic
gene_accession_id,MGI:1914071
parameter_name,Effector CD4+ T helper cells - % of CD45+
