analysis_id,63b0baq0we47s5q
mouse_life_stage,Early adult
parameter_name,Whole arena average speed
parameter_id,JAX_OFD_009_001
gene_symbol,Stk35
gene_accession_id,MGI:1914583
mouse_strain,C57BL
pvalue,1.037531e-08
