parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
mouse_strain,C57BL
gene_symbol,Duoxa2
analysis_id,11z8jmn0n8wxiw0
pvalue,0.9741122
parameter_id,HRWLLA_OFD_013_001
