analysis_id,51ce8xf0a3bfkw6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.1604896
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
