parameter_name,Hindlimbs - shape
pvalue,0.7116934
gene_accession_id,MGI:2135738
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
gene_symbol,Abo
analysis_id,869nn8031pk2xj6
mouse_strain,C57BL
