analysis_id,0h3693p0bmok8fa
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,ESLIM_011_001_702
pvalue,0.1932467
gene_accession_id,MGI:2446186
parameter_name,Prepulse inhibition - PP2
