gene_symbol,Cds2
parameter_name,Distance travelled - total
analysis_id,i8ceb60b1i7bw4q
pvalue,0.5042192
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1332236
parameter_id,JAX_OFD_020_001
