gene_symbol,Psd4
parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
analysis_id,1zhbd323f879way
gene_accession_id,MGI:2674093
parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.353443
