parameter_name,Blood Vessel Morphology
analysis_id,5e6p2h15nx1gb14
gene_symbol,Kcng1
pvalue,0.5465588
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
mouse_strain,C57BL
