parameter_name,Skull shape
gene_accession_id,MGI:109356
analysis_id,fs0dv3047k9sr7m
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
pvalue,0.124763
mouse_life_stage,Middle aged adult
