gene_symbol,Bach2
pvalue,1.330148
analysis_id,9jkw6rf6i3r8ae8
gene_accession_id,MGI:894679
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
parameter_name,Chloride
mouse_life_stage,Early adult
