gene_symbol,Secisbp2l
analysis_id,101tp574ic34sn0
parameter_name,Hindlimb digit - size
pvalue,0.9545702
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
